epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.926328659057617,
0,,99,,6.846992492675781,
0,,149,,6.843165397644043,
0,,199,,6.84283447265625,
0,,249,,6.846303939819336,
0,,299,,6.849949359893799,
0,,349,,6.83629035949707,
0,,389,,,6.843601703643799
,0.00099,390,,,
1,,399,,6.8564839363098145,
1,,449,,6.852561950683594,
1,,499,,6.849889755249023,
1,,549,,6.8449859619140625,
1,,599,,6.853272438049316,
1,,649,,6.838485240936279,
1,,699,,6.849717140197754,
1,,749,,6.838341236114502,
1,,779,,,6.842316627502441
,0.0009801,780,,,
2,,799,,6.834856986999512,
2,,849,,6.841399192810059,
2,,899,,6.838557720184326,
2,,949,,6.841556072235107,
2,,999,,6.8582563400268555,
2,,1049,,6.836127281188965,
2,,1099,,6.846044540405273,
2,,1149,,6.846574306488037,
2,,1169,,,6.842264652252197
,0.000970299,1170,,,
3,,1199,,6.844013214111328,
3,,1249,,6.844687461853027,
3,,1299,,6.846340179443359,
3,,1349,,6.838705062866211,
3,,1399,,6.837151527404785,
3,,1449,,6.836116790771484,
3,,1499,,6.848651885986328,
3,,1549,,6.832248210906982,
3,,1559,,,6.842259407043457
,0.0009605960099999999,1560,,,
4,,1599,,6.847012042999268,
4,,1649,,6.837925910949707,
4,,1699,,6.837608814239502,
4,,1749,,6.841361045837402,
4,,1799,,6.842209815979004,
4,,1849,,6.838414192199707,
4,,1899,,6.850992679595947,
4,,1949,,6.833453178405762,
4,,1949,,,6.842257976531982
,0.0009509900498999999,1950,,,
5,,1999,,6.837823867797852,
5,,2049,,6.84440803527832,
5,,2099,,6.853551864624023,
5,,2149,,6.852013111114502,
5,,2199,,6.845845699310303,
5,,2249,,6.847181797027588,
5,,2299,,6.847411632537842,
5,,2339,,,6.842257976531982
,0.0009414801494009999,2340,,,
6,,2349,,6.863225936889648,
6,,2399,,6.83519172668457,
6,,2449,,6.846347808837891,
6,,2499,,6.836485862731934,
6,,2549,,6.844536304473877,
6,,2599,,6.8397064208984375,
6,,2649,,6.855160713195801,
6,,2699,,6.844651699066162,
6,,2729,,,6.842257976531982
,0.0009320653479069899,2730,,,
7,,2749,,6.848145484924316,
7,,2799,,6.843645095825195,
7,,2849,,6.834041595458984,
7,,2899,,6.833539009094238,
7,,2949,,6.844823837280273,
7,,2999,,6.847224712371826,
7,,3049,,6.8632402420043945,
7,,3099,,6.849712371826172,
7,,3119,,,6.842257976531982
,0.00092274469442792,3120,,,
8,,3149,,6.854139804840088,
8,,3199,,6.832934856414795,
8,,3249,,6.841014862060547,
8,,3299,,6.8540239334106445,
8,,3349,,6.828620910644531,
8,,3399,,6.866387844085693,
8,,3449,,6.831798553466797,
8,,3499,,6.852816581726074,
8,,3509,,,6.842257022857666
,0.0009135172474836408,3510,,,
9,,3549,,6.853420257568359,
9,,3599,,6.836686134338379,
9,,3649,,6.845499038696289,
9,,3699,,6.841358184814453,
9,,3749,,6.8278303146362305,
9,,3799,,6.848834037780762,
9,,3849,,6.830073356628418,
9,,3899,,6.837405204772949,
9,,3899,,,6.842257022857666
,0.0009043820750088043,3900,,,
10,,3949,,6.850429534912109,
10,,3999,,6.840150833129883,
10,,4049,,6.862865447998047,
10,,4099,,6.8357086181640625,
10,,4149,,6.842652320861816,
10,,4199,,6.846189022064209,
10,,4249,,6.853204727172852,
10,,4289,,,6.842257022857666
,0.0008953382542587163,4290,,,
11,,4299,,6.839676380157471,
11,,4349,,6.843989372253418,
11,,4399,,6.840797424316406,
11,,4449,,6.839935302734375,
11,,4499,,6.839144706726074,
11,,4549,,6.843442916870117,
11,,4599,,6.841272354125977,
11,,4649,,6.831122398376465,
11,,4679,,,6.842257022857666
,0.0008863848717161291,4680,,,
12,,4699,,6.8486328125,
12,,4749,,6.835047245025635,
12,,4799,,6.84559965133667,
12,,4849,,6.840309143066406,
12,,4899,,6.842494487762451,
12,,4949,,6.84539794921875,
12,,4999,,6.830604553222656,
12,,5049,,6.855533599853516,
12,,5069,,,6.842257022857666
,0.0008775210229989678,5070,,,
13,,5099,,6.839805603027344,
13,,5149,,6.844420909881592,
13,,5199,,6.839992523193359,
13,,5249,,6.830317497253418,
13,,5299,,6.845728874206543,
13,,5349,,6.848230361938477,
13,,5399,,6.839632987976074,
13,,5449,,6.840093612670898,
13,,5459,,,6.842257022857666
,0.0008687458127689781,5460,,,
14,,5499,,6.843285083770752,
14,,5549,,6.843385696411133,
14,,5599,,6.841703414916992,
14,,5649,,6.845800876617432,
14,,5699,,6.841530799865723,
14,,5749,,6.831798553466797,
14,,5799,,6.831136703491211,
14,,5849,,6.864375114440918,
14,,5849,,,6.842257022857666
,0.0008600583546412883,5850,,,
15,,5899,,6.839000701904297,
15,,5949,,6.8505449295043945,
15,,5999,,6.834731101989746,
15,,6049,,6.846059799194336,
15,,6099,,6.843688011169434,
15,,6149,,6.83592414855957,
15,,6199,,6.839201927185059,
15,,6239,,,6.842257022857666
,0.0008514577710948754,6240,,,
16,,6249,,6.834816932678223,
16,,6299,,6.841559886932373,
16,,6349,,6.84611701965332,
16,,6399,,6.842623710632324,
16,,6449,,6.834918022155762,
16,,6499,,6.845226287841797,
16,,6549,,6.838339328765869,
16,,6599,,6.845513343811035,
16,,6629,,,6.842257022857666
,0.0008429431933839266,6630,,,
17,,6649,,6.83568000793457,
17,,6699,,6.841343879699707,
17,,6749,,6.848431587219238,
17,,6799,,6.842494010925293,
17,,6849,,6.835191249847412,
17,,6899,,6.8344292640686035,
17,,6949,,6.854613304138184,
17,,6999,,6.8521409034729,
17,,7019,,,6.842257022857666
,0.0008345137614500873,7020,,,
18,,7036,6.842257022857666,,
18,,7036,6.845046520233154,,
